name_translations,city_code,country_code,time_zone,code,iata_type,name,coordinates,flightable
{'en': 'Carleton Railway Station'},XON,CA,America/Montreal,XON,railway,Carleton Railway Station,"{'lat': 43.672, 'lon': -79.457}",False
{'en': 'Tangshan Sannuhe Airport'},TVS,CN,Asia/Shanghai,TVS,airport,Tangshan Sannuhe Airport,"{'lat': 39.724, 'lon': 117.99345}",True
{'en': 'Coolah'},CLH,AU,Australia/Sydney,CLH,airport,Coolah,"{'lat': -31.833332, 'lon': 149.7}",False
{'en': 'Chhatrapati Shivaji International Airport'},BOM,IN,Asia/Kolkata,BOM,airport,Chhatrapati Shivaji International Airport,"{'lat': 19.095509, 'lon': 72.87497}",True
{'en': 'Duqm'},DQM,OM,Asia/Muscat,DQM,airport,Duqm,"{'lat': 19.503346, 'lon': 57.63683}",True
{'en': 'Erzurum Airport'},ERZ,TR,Europe/Istanbul,ERZ,airport,Erzurum Airport,"{'lat': 39.955555, 'lon': 41.17361}",True
{'en': 'Darwin Railway'},DRW,AU,Australia/Darwin,XJG,railway,Darwin Railway,"{'lat': -12.4628198, 'lon': 130.8417694}",True
{'en': 'Sodertalje S Railway'},JSO,SE,Europe/Stockholm,XEZ,railway,Sodertalje S Railway,"{'lat': 59.1959473, 'lon': 17.6279523}",False
{'en': 'Siuna'},SIU,NI,America/Managua,SIU,airport,Siuna,"{'lat': 13.727222, 'lon': -84.77778}",False
{'en': 'Pristina International Airport'},PRN,XK,Europe/Belgrade,PRN,airport,Pristina International Airport,"{'lat': 42.573612, 'lon': 21.035557}",True
{'en': 'Mirgorod'},MXR,UA,Europe/Kiev,MXR,airport,Mirgorod,"{'lat': 49.966667, 'lon': 33.6}",False
{'en': 'Motueka'},MZP,NZ,Pacific/Auckland,MZP,airport,Motueka,"{'lat': -41.11667, 'lon': 173}",False
{'en': 'Playon Chico'},PYC,PA,America/Panama,PYC,airport,Playon Chico,"{'lat': 9.574444, 'lon': -79.605835}",False
{'en': 'Sholapur'},SSE,IN,Asia/Kolkata,SSE,airport,Sholapur,"{'lat': 17.633333, 'lon': 75.933334}",False
{'en': 'North Air Terminal'},LAS,US,America/Los_Angeles,VGT,airport,North Air Terminal,"{'lat': 36.09667, 'lon': -115.16889}",False
{'en': 'Neftekamsk'},NEF,RU,Asia/Yekaterinburg,NEF,airport,Neftekamsk,"{'lat': 56.1, 'lon': 54.35}",False
{'en': 'Ciudad Obregon Airport'},CEN,MX,America/Hermosillo,CEN,airport,Ciudad Obregon Airport,"{'lat': 27.391945, 'lon': -109.839165}",True
{'en': 'Horizontina'},HRZ,BR,America/Sao_Paulo,HRZ,airport,Horizontina,"{'lat': -27.638332, 'lon': -54.340557}",False
{'en': 'Barcelonnette'},BAE,FR,Europe/Paris,BAE,airport,Barcelonnette,"{'lat': 44.38333, 'lon': 6.666667}",False
{'en': 'Muttaburra'},UTB,AU,Australia/Brisbane,UTB,airport,Muttaburra,"{'lat': -22.5875, 'lon': 144.525}",False
{'en': 'Griswold'},MPE,US,America/New_York,MPE,airport,Griswold,"{'lat': 41.283333, 'lon': -72.6}",False
{'en': 'Capital International Airport'},CAI,EG,Africa/Cairo,CCE,airport,Capital International Airport,"{'lat': 30.075833, 'lon': 31.833333}",True
{'en': 'Lague'},LCO,CG,Africa/Brazzaville,LCO,airport,Lague,"{'lat': -2.45, 'lon': 14.533333}",False
{'en': 'Jiamusi Airport'},JMU,CN,Asia/Shanghai,JMU,airport,Jiamusi Airport,"{'lat': 46.845394, 'lon': 130.45541}",True
{'en': 'Rotorua International Airport'},ROT,NZ,Pacific/Auckland,ROT,airport,Rotorua International Airport,"{'lat': -38.10982, 'lon': 176.31746}",True
