group_key,flight_number,link,origin_airport,destination_airport,departure_at,airline,destination,return_at,origin,price,gate,return_transfers,duration,duration_to,duration_back,transfers,requested_destination
2026-07-01,785,/search/MOW0107MIL15071?t=W417829390001783041000001760VKOEVNMXP17841195001784245500002040BGYSAWISTSVO_fadfdcc7b5b9ef27c8658ea4ad0893a9_50234&search_date=21032026&expected_price_uuid=019d10ba-f1b9-8030-6e8b-eb2b33c345ea&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=523,VKO,MXP,2026-07-01T20:50:00+03:00,UT,MIL,2026-07-15T12:45:00+02:00,MOW,523,Kupi.com,1,3800,490,395,1,MIL
2026-07-02,314,/search/MOW0207MIL16071?t=W417829576001783041000001450DMEEVNMXP17842170001784265300000745MXPEVNVKO_8f8d180290fb0abd264827a66b7dc07b_49884&search_date=19032026&expected_price_uuid=019d0726-cf46-8010-a471-ef10ced8d3e1&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=500,DME,MXP,2026-07-02T02:00:00+03:00,3F,MIL,2026-07-16T15:50:00+02:00,MOW,500,Kupi.com,1,2195,465,460,1,MIL
2026-07-03,785,/search/MOW0307MIL17071?t=W417831118001783213800001760VKOEVNMXP17842800001784331900000805MXPBEGISTSVO_ae6c88912e4cea26baec0539361b845a_53007&search_date=21032026&expected_price_uuid=019d0fc9-bcf2-8030-ee81-ae52333cc588&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=544,VKO,MXP,2026-07-03T20:50:00+03:00,UT,MIL,2026-07-17T09:20:00+02:00,MOW,544,Kupi.com,2,2565,490,440,1,MIL
2026-07-04,1966,/search/MOW0407MIL18071?t=W417831277001783213800001495SVOEVNMXP17843898001784438100000745MXPEVNVKO_85d54fdf6a997db306f08b71b6625b1c_52202&search_date=21032026&expected_price_uuid=019d1013-60d3-8030-22c1-efecfc666e17&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=536,SVO,MXP,2026-07-04T01:15:00+03:00,SU,MIL,2026-07-18T15:50:00+02:00,MOW,536,Kupi.com,1,2240,485,460,1,MIL
2026-07-05,13,/search/MOW0507MIL19071?t=GF17832564001783320900001135SVOBAHMXP17844615001784535300001170MXPBAHSVO_e828a3e3527e64379cb671985720399f_52413&search_date=16032026&expected_price_uuid=019cf820-a019-8030-2c85-807e2a2830bc&static_fare_key=TY%7CP0%7CH1%7CL1_1_25%7CCH1%7CR1%7CTBC1&expected_price_source=share&expected_price_currency=eur&expected_price=561,SVO,MXP,2026-07-05T13:00:00+03:00,GF,MIL,2026-07-19T11:45:00+02:00,MOW,561,Kupi.com,1,2305,760,745,1,MIL
2026-07-06,785,/search/MOW0607MIL20071?t=W417833710001783473000001760VKOEVNMXP17845392001784622600001330MXPBEGISTSVO_a62d8b0f7a62228a4df2c58f21ee02b4_54490&search_date=21032026&expected_price_uuid=019d1027-37da-8030-6a02-36e73821dec6&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=559,VKO,MXP,2026-07-06T20:50:00+03:00,UT,MIL,2026-07-20T09:20:00+02:00,MOW,559,Авиасейлс,2,3090,490,480,1,MIL
2026-07-07,1862,/search/MOW0707MIL21071?t=W417834370001783473000000660SVOEVNMXP17846490001784697300000745MXPEVNVKO_1611f38be75b8491b45a27574de4d04d_52707&search_date=21032026&expected_price_uuid=019d1188-9df8-8030-eb87-33630a2fde40&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=549,SVO,MXP,2026-07-07T15:10:00+03:00,SU,MIL,2026-07-21T15:50:00+02:00,MOW,549,Kupi.com,1,1405,495,460,1,MIL
2026-07-08,13,/search/MOW0807MIL22071?t=GF17835156001783580100001135SVOBAHMXP17847234001784794500001125MXPBAHSVO_a81bbe542854ee73a64cd1c273ff4347_52773&search_date=19032026&expected_price_uuid=019d0471-e931-8010-68c7-837e13ed086c&static_fare_key=TY%7CP1%7CH1%7CL1_1_25%7CCH1%7CR1%7CTBC1&expected_price_source=share&expected_price_currency=eur&expected_price=543,SVO,MXP,2026-07-08T13:00:00+03:00,GF,MIL,2026-07-22T12:30:00+02:00,MOW,543,Авиасейлс,1,2260,760,745,1,MIL
2026-07-09,2138,/search/MOW0907MIL23071?t=SU17836395001783715400001325SVOISTSAWIASMXP17848398001784926200001380MXPBEGISTDME_884afbb7182fc7bf6271cee488c6e1db_51140&search_date=18032026&expected_price_uuid=019d0233-1b63-8030-a442-88a822861d51&static_fare_key=TY%7CP0%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=532,SVO,MXP,2026-07-09T23:25:00+03:00,SU,MIL,2026-07-23T20:50:00+02:00,MOW,532,Aviakassa,2,2705,560,490,2,MIL
2026-07-10,785,/search/MOW1007MIL24071?t=W417837166001783818600001760VKOEVNMXP17849268001785003000001210LINFCOEVNDME_3d0e415abe2e5bdc858b79364b1a4f12_53877&search_date=22032026&expected_price_uuid=019d1503-3223-8030-2ff4-9611f7ad3b04&static_fare_key=TY%7CP1%7CH0%7CL0%7CCH0%7CR0%7CTBC0&expected_price_source=share&expected_price_currency=eur&expected_price=561,VKO,MXP,2026-07-10T20:50:00+03:00,UT,MIL,2026-07-24T21:00:00+02:00,MOW,561,Kupi.com,2,2970,490,490,1,MIL
